study,date,time,subject,consentq,last30days,recentgame1,recentgame2,recentgame3,recentgame4,recentgame5,playfrequency1,playfrequency2,playfrequency3,playfrequency4,playfrequency5,sliderviolence1,FreqViolence1,sliderviolence2,FreqViolence2,sliderviolence3,FreqViolence3,sliderviolence4,FreqViolence4,sliderviolence5,FreqViolence5,Averagefrequencyviolence,Age,Gender,sexnumerical,country,Numericalgameplayed,Gameplayed,VorNV,Score,Selfscore,Sexuality,Relationshipstatus,lengthofrelationship,ageofpartner,mvscaleselfdesirability,mvscaleothersdesirability,mvscalecomparison,mvscalecatch,MV1Total,mv1,mv2,mv3,MV3responserecoded,mv4,mv5,mv6,mv7,mv8,mv9,mv10,MV10responserecoded,mv11,mv12,mv13,MV13responserecoded,mv14,mv15,mv16,mv17,mv18,mv19,mv20,mv21,mv22,Mvfactorviewofoppositesex,MVFactorSociality,MVFactorparenting,MVFactorWealth,MVFactorLooks,MVfactorRelationshiphistory,MVFactorFearoffailure,MV2Average,sgaq1,sgaq2,sgaq3,sgaq4,sgaq5,sgaq6,sgaq7,sgaq8,SGAAverage,hos1,hos2,hos3,hos4,hos5,hos6,HostilityTotal,mm1,mm2,mm3,mm4,MATINGMOTIVATIONtotal,soirq1,soirq2,soirq3,soirq4,soirq5,soirq6,SOIRQ6Reversecoding,soirq7,soirq8,soirq9,soirq10,SOIRQ1Score,SOIRQ2Score,SOIRQSCORE,SOIRBehaviouralfacet,SOIRATTITUDEFACET,SOIRDESIREFACET,SOIRTOTAL,troubleunderstanding,furtherquestions,Removedata
mturk,63015,13:04:44,375556692,"Yes, I consent to participate in this study",Yes,Saints Row IV,Disney Magical World,Zelda Link to the Past,,,2,5,2, , ,6,12,1,5,3,6,,,,,7.666666667,40,Female,1,USA,2,pongnop.html,NV,900,2,6,"In a long-term monogamous relationship eg. married, partnered",20+ years,A little older,5,4,4,4,17,4,6,4,4,7,1,5,1,1,1,1,7,3,1,7,1,2,4,7,1,1,1,7,5,5,3.666666667,1,5.333333333,1,7,2.5,5.5,3.409090909,1,7,1,1,7,7,1,6,1,1,1,2,1,1,1,7,1,1,1,1,4,2,0,2,9,6,1,9,9,3,2,2,3,1,3,7,24,7,38,No,,No
mturk,63015,14:54:00,375641222,"Yes, I consent to participate in this study",Yes,Black ops 2,Angry Birds Star Wars,The Crew,Modern Warfare 3,Assassin's Creed Rogue,3,3,3,1,1,5,15,1,3,1,3,5,5,5,5,6.2,36,Male,2,USA,2,pongnop.html,NV,611,2,7,Single, , ,1,1,1,1,4,1,1,7,1,2,1,1,1,1,1,5,3,1,1,7,1,1,2,7,1,1,1,7,1,1,1,1,1.333333333,1,7,1.5,2,1.727272727,1,7,2,7,1,4,2,7,3.333333333,1,1,1,1,1,1,6,1,1,1,1,4,0,20+,20+,9,4,1,9,9,2,1,1,1,9,9,19,22,4,45,No,,No
mturk,63015,18:05:27,376018105,"Yes, I consent to participate in this study",Yes,Heroes of the Storm,Skyrim,Halo 4,Left for Dead 2,Grand Theft Auto V,5,4,4,4,4,5,25,5,20,5,20,6,24,6,24,22.6,19,Male,2,USA,6,gunblood.html,V,201,5,7,Single, , ,6,7,7,7,27,7,5,5,3,4,6,6,5,6,2,1,7,5,5,2,6,6,4,7,6,3,7,5,2,7,5.5,5.8,4.666666667,2.5,6,5.5,5,5.181818182,5,6,7,7,6,5,7,5,6.333333333,1,1,2,1,1,1,7,2,1,3,1,7,0,0,0,6,1,9,1,9,8,2,2,1,1,1,3,8,12,23,No,Interesting,No
mturk,63015,16:29:21,381668985,"Yes, I consent to participate in this study",Yes,World of Warcraft,World of Warcraft,none,no,none,6,6, , , ,6,36,2,12,1,,1,,1,,24,24,Female,1,USA,5,deanimator.html,V,15,4,3,"In a long-term monogamous relationship eg. married, partnered",6-10 years,A little older,3,4,3,4,14,4,5,5,3,5,2,3,2,2,2,1,7,3,5,6,2,3,4,5,2,2,2,5,2,4,3.5,2,4.333333333,2,5,3,5,3.363636364,5,7,4,3,3,6,3,4,4,2,2,2,1,1,1,9,2,2,1,1,6,1,Oct-19,Oct-19,5,5,5,5,9,5,2,2,2,8,8,18,15,9,42,Yes,,No
mturk,63015,13:55:54,383823051,"Yes, I consent to participate in this study",No,,,,,,,,,,,,0,,0,,0,,0,,0,0,58,Female,1,USA,4,moremindlessviolence.html,V,1,1,1,"In a long-term monogamous relationship eg. married, partnered",20+ years,A little older,6,6,5,5,22,6,6,1,7,7,5,3,5,5,2,2,6,6,5,2,6,2,6,6,5,3,3,5,1,5,3.666666667,5.2,6.333333333,2.5,5.5,4.5,6.5,4.772727273,2,7,2,5,5,6,5,3,3,1,1,1,1,1,1,6,2,2,2,2,8,1,3,3,8,1,9,1,9,2,2,2,2,4,4,10,10,6,26,No,NO,No
mturk,63015,19:01:29,38430487,"Yes, I consent to participate in this study",Yes,FIRE EMBLEM,Legend of Zelda,Pokemon,Harvest Moon,Super Smash Brothers,4,5,6,6,4,3,12,4,20,3,18,1,6,5,20,15.2,26,Female,1,United States,3,bubbleshooter.html,NV,6470,5,1,In an open relationship/casually dating,1-2 years,Older,6,6,6,7,25,5,5,6,2,7,3,5,3,2,2,2,6,5,6,5,3,6,6,6,3,2,5,6,3,6,5.166666667,2.8,5.666666667,2,6,5.5,4,4.409090909,5,6,5,6,3,6,1,3,5.333333333,1,1,1,1,1,1,6,2,3,2,2,9,5-Jun,2,4,9,9,1,9,9,7,7,6,6,3,5,8,27,20,55,No,nope,No
mturk,63015,13:46:44,384327732,"Yes, I consent to participate in this study",Yes,The Binding of Isaac: Rebirth,Don't Starve,Pokemon Alpha Sapphire,Pokemon Y,Team Fortress 2,6,6,7,4,3,5,30,5,30,2,14,2,8,6,18,20,21,Other,3,United States,1,perfectbalance.html,NV,3311,3,2,"In a long-term monogamous relationship eg. married, partnered",2-5 years,About the same age,6,5,6,6,23,6,1,5,3,1,3,5,2,3,2,1,7,1,5,5,3,5,6,5,3,2,5,5,5,5,5.166666667,2.8,1,2,5,5.5,5,3.772727273,2,6,6,5,7,7,1,3,4.333333333,1,1,1,1,1,1,6,1,1,1,1,4,3,0,2,9,7,2,8,9,2,2,2,4,1,3,8,24,6,38,No,,Yes
mturk,63015,12:53:53,384735181,"Yes, I consent to participate in this study",Yes,Clash of Clans,God of War,Candy Crush Saga,Trivia Crack,Song Pop,7,7,7,7,7,1,7,5,35,1,7,1,7,1,7,12.6,31,Male,2,USA,2,pongnop.html,NV,1240,6,7,In an open relationship/casually dating,6-10 years,About the same age,7,7,4,4,22,7,7,7,1,7,7,7,6,7,3,1,7,7,7,1,7,7,7,7,6,5,6,7,5,7,6.666666667,6.6,7,4,7,6.5,4,6.227272727,7,7,7,7,7,7,1,1,7,1,1,1,1,1,1,6,7,7,7,7,28,1,2,2,4,4,7,3,9,6,6,6,2,3,3,8,11,18,37,No,No.,No
mturk,63015,12:50:42,387576625,"Yes, I consent to participate in this study",Yes,Fallout: New Vegas,Fallout 3,Mass Effect,Civilation 4,Tropico 4,7,7,4,4,4,7,49,7,49,5,20,3,12,3,12,28.4,27,Male,2,USA,2,pongnop.html,NV,1709,6,7,"In a long-term monogamous relationship eg. married, partnered",1-2 years,A little younger,7,7,7,6,27,7,7,5,3,7,6,6,5,5,3,1,7,7,5,2,6,5,6,7,3,2,3,6,1,5,4.833333333,5,7,2.5,6.5,4.5,5,5.090909091,1,7,1,5,1,7,5,2,2.333333333,1,1,1,1,1,1,6,1,1,1,1,4,1,5-Jun,7-Sep,8,3,3,7,9,8,8,8,2,6,7,15,18,24,57,No,,No
mturk,63015,13:25:50,390272903,"Yes, I consent to participate in this study",Yes,Dead Rising 3,Earthbound,Super Smash Bros for Wii U,Donkey Kong Country Tropical Freeze,Destiny,4,6,6,6,5,6,24,3,18,4,24,3,18,5,25,21.8,23,Male,2,United States,4,moremindlessviolence.html,V,3,4,7,Single, , ,2,3,2,3,10,2,4,5,3,4,2,1,1,2,2,6,2,3,1,3,5,1,2,4,2,1,2,3,1,1,1.166666667,2.4,3.666666667,1.5,3.5,2,2.5,2.227272727,2,6,5,5,5,6,2,3,4,2,1,3,3,2,3,14,2,1,1,1,5,0,0,0,2,3,7,3,9,2,1,1,1,1,1,3,8,4,15,No,,No
mturk,63015,18:15:31,39164998,"Yes, I consent to participate in this study",Yes,Rayman,Chariots,WordBrain,Hill Climb Racing,,6,3,7,7, ,3,18,3,9,1,7,1,7,,,10.25,28,Female,1,USA,1,perfectbalance.html,NV,1,3,2,"In a long-term monogamous relationship eg. married, partnered",11-20 years,About the same age,5,3,4,3,15,5,6,5,3,7,4,4,5,4,2,2,6,5,4,1,7,2,1,6,4,1,2,2,5,4,4,4.8,6,1.5,4,1.5,4.5,4.045454545,6,7,1,1,4,5,3,3,2.666666667,2,2,3,1,1,1,10,3,1,3,1,8,1,1,0,8,6,2,8,9,1,1,1,2,2,1,5,22,3,30,No,The arrows are difficult to move,No
