study,date,time,subject,consentq,last30days,recentgame1,recentgame2,recentgame3,recentgame4,recentgame5,playfrequency1,playfrequency2,playfrequency3,playfrequency4,playfrequency5,sliderviolence1,FreqViolence1,sliderviolence2,FreqViolence2,sliderviolence3,FreqViolence3,sliderviolence4,FreqViolence4,sliderviolence5,FreqViolence5,Averagefrequencyviolence,Age,Gender,sexnumerical,country,Numericalgameplayed,Gameplayed,VorNV,Score,Selfscore,Sexuality,Relationshipstatus,lengthofrelationship,ageofpartner,mvscaleselfdesirability,mvscaleothersdesirability,mvscalecomparison,mvscalecatch,MV1Total,mv1,mv2,mv3,MV3responserecoded,mv4,mv5,mv6,mv7,mv8,mv9,mv10,MV10responserecoded,mv11,mv12,mv13,MV13responserecoded,mv14,mv15,mv16,mv17,mv18,mv19,mv20,mv21,mv22,Mvfactorviewofoppositesex,MVFactorSociality,MVFactorparenting,MVFactorWealth,MVFactorLooks,MVfactorRelationshiphistory,MVFactorFearoffailure,MV2Average,sgaq1,sgaq2,sgaq3,sgaq4,sgaq5,sgaq6,sgaq7,sgaq8,SGAAverage,hos1,hos2,hos3,hos4,hos5,hos6,HostilityTotal,mm1,mm2,mm3,mm4,MATINGMOTIVATIONtotal,soirq1,soirq2,soirq3,soirq4,soirq5,soirq6,SOIRQ6Reversecoding,soirq7,soirq8,soirq9,soirq10,SOIRQ1Score,SOIRQ2Score,SOIRQSCORE,SOIRBehaviouralfacet,SOIRATTITUDEFACET,SOIRDESIREFACET,SOIRTOTAL,troubleunderstanding,furtherquestions,Removedata
mturk,63015,15:51:48,104521049,"Yes, I consent to participate in this study",Yes,plants vs zombies,resident evil,,,,7,6, , , ,2,14,5,30,,,,,,,22,45,Female,1,usa,1,perfectbalance.html,NV,2234,3,1,Single, , ,4,3,4,4,15,6,7,7,1,5,3,5,2,1,1,1,7,3,3,6,2,5,5,5,3,1,5,3,5,5,4.833333333,2.2,5,1,4,5,4,3.772727273,1,7,1,1,5,6,1,3,1,1,1,1,1,1,1,6,1,1,2,1,5,0,0,0,6,3,7,3,9,2,2,2,1,1,1,3,12,6,21,No,,No
mturk,63015,12:53:31,106185482,"Yes, I consent to participate in this study",Yes,Titanfall,Halo 3,City:Skylines,The Witcher 3,GTAV,7,5,4,6,4,6,42,6,30,1,4,7,42,7,28,29.2,22,Male,2,United States,1,perfectbalance.html,NV,1111,2,7,In an open relationship/casually dating,2-5 years,Younger,6,6,4,4,20,5,6,5,3,7,6,6,4,5,4,2,6,6,5,2,6,5,5,5,7,4,5,4,1,5,4.5,5.6,6.333333333,4,4.5,5,4.5,5,4,6,2,4,6,6,5,3,3.333333333,1,1,1,1,1,1,6,2,1,2,2,7,0,0,0,3,3,7,3,9,2,2,2,1,1,1,3,9,6,18,No,Everything went well,No
mturk,63015,21:44:01,106496730,"Yes, I consent to participate in this study",Yes,Angry Birds,Plants vs. Zombies,,,,5,5, , , ,2,10,2,10,,,,,,,10,31,Female,1,United States,1,perfectbalance.html,NV,1100,2,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,A little older,7,7,6,7,27,7,7,3,5,7,5,7,5,5,2,1,7,7,7,1,7,5,5,6,7,2,5,6,7,6,6.5,5.8,7,2,6,5,6,5.772727273,7,7,7,5,7,7,1,1,6.333333333,1,1,1,1,1,1,6,1,1,1,1,4,1,3,5-Jun,1,3,5,5,9,4,3,2,2,4,6,12,9,9,30,No,,No
mturk,63015,20:30:39,107155473,"Yes, I consent to participate in this study",Yes,Grand Theft Auto IV,Diablo,Pokemon (Gameboy),Minecraft,Borderlands,5,3,4,4,2,7,35,6,18,1,4,1,4,7,14,15,22,Male,2,United States,4,moremindlessviolence.html,V,2,3,5,Single, , ,5,5,6,6,22,6,2,3,5,1,3,5,5,3,3,2,6,1,5,5,3,6,3,7,5,7,5,7,4,5,5.166666667,3.8,1.333333333,5,7,4,5.5,4.409090909,1,6,1,6,2,6,3,2,2.666666667,1,1,2,1,1,1,7,1,1,1,1,4,3,0,5-Jun,9,9,1,9,9,8,7,8,4,1,6,11,27,23,61,Yes,Slider bar was SMALL,No
mturk,63015,13:43:45,114232863,"Yes, I consent to participate in this study",Yes,Fallout new Vegas,Civilization 5,Dead Island ,Tomb Raider,The Witcher ,7,7,7,4,4,7,49,1,7,7,49,7,28,7,28,32.2,27,Male,2,US,6,gunblood.html,V,482,4,7,"In a long-term monogamous relationship eg. married, partnered",Under one year,Younger,7,6,7,7,27,7,3,1,7,5,7,7,7,7,7,1,7,3,7,1,7,7,7,3,7,7,7,3,1,7,6,7,3.666666667,7,3,7,7,5.909090909,7,7,5,3,7,7,7,1,5,1,1,1,1,1,1,6,6,5,5,5,21,5-Jun,Oct-19,20+,9,9,1,9,9,9,9,9,6,8,9,17,27,27,71,No,Interesting Survey!,No
mturk,63015,13:10:54,115114039,"Yes, I consent to participate in this study",Yes,Bloodborne,Battlefield 4,Dark Souls II,Minecraft,Planetside 2,7,4,7,3,4,5,35,5,20,5,35,3,9,5,20,23.8,27,Female,1,Untied States,3,bubbleshooter.html,NV,200000,5,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,A little younger,7,7,5,4,23,7,7,5,3,7,5,6,5,5,3,3,5,5,5,3,5,3,5,5,5,3,5,5,1,5,4.5,5,6.333333333,3,5,5,4,4.772727273,7,7,3,3,5,5,3,3,4.333333333,1,1,1,1,1,1,6,5,2,5,5,17,1,1,1,7,3,7,3,9,1,2,2,2,2,2,6,13,5,24,No,,No
mturk,63015,16:34:14,115456942,"Yes, I consent to participate in this study",Yes,Sudoku on my phone,Towerfall Ascention ,,,,7,4, , , ,1,7,3,12,,,,,,,9.5,25,Female,1,USA,4,moremindlessviolence.html,V,30,3,1,"In a long-term monogamous relationship eg. married, partnered",2-5 years,About the same age,7,7,7,7,28,7,7,4,4,6,6,6,6,6,3,2,6,3,5,3,5,2,6,5,6,5,3,6,5,5,5,5.8,5.333333333,4,5.5,4.5,5,5.136363636,1,7,1,1,7,7,6,2,1,1,1,1,1,1,1,6,3,3,1,2,9,1,0,0,4,1,8,2,9,1,1,1,2,1,1,4,7,3,14,No,,No
mturk,63015,18:49:47,116410281,"Yes, I consent to participate in this study",Yes,Counter Strike: Global Offensive,Garry's Mod,League of Legends,Magic: The Gathering Online,Ace Combat Zero,5,7,4,6,5,6,30,6,42,5,20,2,12,5,25,25.8,19,Male,2,USA,6,gunblood.html,V,34,4,5,Single, , ,3,3,4,1,11,5,3,1,7,3,2,3,2,1,1,2,6,3,2,6,2,2,2,2,2,1,2,3,2,2,2.666666667,1.8,3,1,2.5,2,6.5,2.636363636,3,5,1,1,6,5,2,3,1.666666667,1,1,1,1,1,1,6,1,1,1,1,4,0,0,0,6,2,4,6,9,2,2,1,1,1,1,3,14,5,22,No,,No
mturk,63015,15:49:45,119001513,"Yes, I consent to participate in this study",Yes,WoW,Fallout,,,,4,4, , , ,6,24,6,24,,,,,,,24,35,Female,1,USA,3,bubbleshooter.html,NV,830,4,1,"In a long-term monogamous relationship eg. married, partnered",2-5 years,About the same age,6,6,5,6,23,7,1,5,3,1,7,7,6,6,1,1,7,1,7,3,5,2,6,7,6,1,5,7,5,6,5.666666667,6,1,1,7,5.5,5,4.727272727,5,7,5,6,2,5,2,1,5.333333333,1,1,1,1,1,1,6,3,2,5,2,12,1,5-Jun,Oct-19,9,6,2,8,9,2,2,2,2,6,8,16,23,6,45,No,The game was fun!,No
mturk,63015,17:20:04,119789297,"Yes, I consent to participate in this study",Yes,Legend of Dragoon,Chrono Cross,Call of Duty: Ghosts,Super Princess Peach,Zelda: Ocarina of Time,6,5,7,5,4,2,12,2,10,5,35,1,5,1,4,13.2,21,Female,1,US,3,bubbleshooter.html,NV,3820,5,1,Single, , ,7,7,7,7,28,6,7,7,1,7,5,6,6,6,2,2,6,7,6,5,3,6,6,7,5,4,7,7,7,7,6.333333333,5,7,3,7,6.5,3.5,5.636363636,2,7,7,7,7,7,2,1,5.333333333,1,1,1,1,1,1,6,7,7,7,7,28,0,0,0,2,1,9,1,9,2,2,2,1,1,1,3,4,6,13,No,None thanks,No
mturk,63015,22:35:56,124146541,"Yes, I consent to participate in this study",Yes,criminal case,solitare,,,,7,7,1,1,1,3,21,1,7,,,,,,,14,39,Female,1,United States,1,perfectbalance.html,NV,1041,3,1,"In a long-term monogamous relationship eg. married, partnered",11-20 years,A little older,6,7,6,7,26,7,1,3,5,5,3,7,3,3,2,1,7,1,6,6,2,3,3,6,3,2,3,6,7,7,6.166666667,2.8,2.333333333,2,6,3,6,4.181818182,2,7,1,1,7,5,1,1,1.333333333,1,1,1,1,1,1,6,1,1,3,2,7,1,3,5-Jun,7,3,3,7,9,2,4,2,2,4,6,12,17,8,37,Yes,,No
mturk,63015,19:00:43,125383731,"Yes, I consent to participate in this study",Yes,Diner Dash,wedding dash,Donkey Kong JR,,,6,7,5,1,1,1,6,1,7,1,5,,,,,6,26,Female,1,US,3,bubbleshooter.html,NV,1440,6,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,Older,7,6,4,5,22,6,7,2,6,7,3,5,3,5,1,1,7,6,6,5,3,2,5,5,5,1,6,5,1,5,4.166666667,3.8,6.666666667,1,5,5.5,6.5,4.545454545,1,7,5,1,3,6,1,3,2.333333333,1,1,1,1,1,1,6,1,1,1,1,4,1,3,3,4,6,6,4,9,2,2,2,2,4,4,10,14,6,30,No,,No
mturk,63015,15:43:09,12680711,"Yes, I consent to participate in this study",Yes,Super Mario 3D World,Pinball FX2,Bloodborne,Wildstar,FTL,6,5,4,5,6,2,12,1,5,6,24,3,15,2,12,13.6,38,Male,2,U.S.A.,6,gunblood.html,V,45,2,1,Single, , ,1,1,1,1,4,1,1,5,3,1,1,1,1,1,1,1,7,1,1,6,2,1,1,7,1,1,1,7,1,1,1,1.2,1,1,7,1,5,1.954545455,1,7,2,5,1,1,1,4,2.666666667,1,1,1,1,1,1,6,1,1,1,1,4,0,0,0,7,4,5,5,9,8,8,8,1,1,1,3,16,24,43,No,,No
mturk,63015,15:52:54,131734053,"Yes, I consent to participate in this study",Yes,Candy Crush,Cooking Fever,Mario Bros,Minecraft,HayDay,7,6,7,4,4,1,7,1,6,3,21,3,12,1,4,10,34,Female,1,USA,2,pongnop.html,NV,553,4,2,Single, , ,4,4,4,6,18,6,7,3,5,7,2,5,2,3,2,3,5,5,6,7,1,6,5,6,3,3,5,5,5,5,5.5,2.2,6.333333333,2.5,5.5,5,5,4.5,4,6,5,5,5,5,3,1,4.666666667,1,1,1,1,1,1,6,3,3,3,3,12,0,2,4,8,3,6,4,9,6,4,4,1,3,5,9,15,14,38,No,,No
mturk,63015,19:17:17,13237425,"Yes, I consent to participate in this study",Yes,Marvel: Future Fight,EVE Online,Real Racing 3,Springfield: Tapped Out,StarCraft II: The Legacy of the Void BETA,7,4,5,6,7,6,42,7,28,1,5,1,6,7,49,26,26,Male,2,United States,4,moremindlessviolence.html,V,3,2,7,"In a long-term monogamous relationship eg. married, partnered",6-10 years,About the same age,6,5,5,5,21,6,7,7,1,7,6,5,4,3,1,1,7,5,5,1,7,2,5,7,2,1,5,7,6,7,5.166666667,4.4,6.333333333,1,7,5,4,4.818181818,1,7,2,7,7,7,7,5,3.333333333,1,1,1,1,1,1,6,1,1,1,1,4,3,3,7-Sep,9,9,1,9,9,8,7,7,4,4,7,15,27,22,64,No,,No
mturk,63015,15:15:52,132560934,"Yes, I consent to participate in this study",Yes,Diablo II,Just Cause II,Far Cry 4,Time Clickers,Clicker Heroes,2,7,4,7,4,6,12,7,49,7,28,1,7,1,4,20,28,Male,2,USA,5,deanimator.html,V,63,6,6,"In a long-term monogamous relationship eg. married, partnered",6-10 years,A little older,5,2,3,6,16,5,6,6,2,7,1,2,5,4,2,1,7,6,2,6,2,1,6,6,3,4,1,6,1,2,2.166666667,3,6.333333333,3,6,3.5,4.5,3.681818182,2,6,2,7,3,5,7,2,3.666666667,2,1,1,1,1,2,8,1,1,2,1,5,1,1,1,6,7,3,7,9,7,5,6,2,2,2,6,20,18,44,No,,No
mturk,63015,14:27:36,134328561,"Yes, I consent to participate in this study",Yes,Super Mario for Nntendo 64,Smash Brothers,Minecraft,Monster Dash,,4,5,6,1, ,3,12,3,15,3,18,3,3,,,12,37,Female,1,United States,3,bubbleshooter.html,NV,1080,4,2,Recently single/divorced/separated,2-5 years,About the same age,6,6,6,6,24,6,6,1,7,7,6,7,6,5,3,2,6,5,5,3,5,5,5,5,5,3,5,6,5,6,5.666666667,5.4,6,3,5.5,5,6.5,5.409090909,4,6,3,3,5,6,3,3,3.333333333,1,1,1,1,1,1,6,3,2,1,2,8,2,4,4,3,3,7,3,9,2,2,2,3,5,5,13,9,6,28,No,,No
mturk,63015,19:19:28,134558795,"Yes, I consent to participate in this study",Yes,Words of Wonder,Letter Up,,,,7,7,2,2,2,1,7,1,7,,,,,,,7,54,Female,1,USA,2,pongnop.html,NV,913,1,1,"In a long-term monogamous relationship eg. married, partnered",20+ years,About the same age,7,7,7,7,28,7,7,1,7,7,1,7,7,7,1,1,7,2,5,2,6,2,7,7,1,7,2,7,1,7,4.833333333,4.4,5.333333333,4,7,4.5,7,5.090909091,1,7,1,4,2,1,1,2,2,1,1,1,1,1,1,6,1,1,2,1,5,1,0,0,1,1,9,1,9,2,1,1,2,1,1,4,3,4,11,No,While playing the game,No
mturk,63015,19:39:49,135155570,"Yes, I consent to participate in this study",Yes,Final Fantasy 14,League of Legends,Smash Brothers 4,Heroes of the Storm,Witcher 3,6,3,7,4,1,4,24,3,9,5,35,3,12,6,6,17.2,26,Other,3,USA,4,moremindlessviolence.html,V,3,3,7,Single,Under one year,Much younger,7,3,3,4,17,6,7,6,2,4,5,5,3,5,2,3,5,5,5,6,2,5,5,5,5,3,5,5,3,5,4.833333333,4,5.333333333,2.5,5,5,3.5,4.409090909,1,6,2,3,7,6,1,3,2,1,2,1,1,1,3,9,7,1,3,4,15,3,2,2,8,7,3,7,9,5,6,5,4,3,3,10,22,16,48,No,,Yes
mturk,63015,19:17:48,13759668,"Yes, I consent to participate in this study",Yes,sim city,uno,,,,5,4, , , ,1,5,1,4,,,,,,,4.5,30,Female,1,USA,5,deanimator.html,V,48,5,2,In an open relationship/casually dating,Under one year,A little older,6,6,5,6,23,4,7,4,4,6,4,6,4,4,3,1,7,5,6,6,2,2,4,6,3,3,5,6,2,6,4.333333333,3.4,6,3,6,4.5,5.5,4.5,6,4,5,5,3,6,4,4,5.333333333,1,1,1,1,1,1,6,3,3,3,4,13,1,0,2,8,5,3,7,9,2,2,2,2,1,3,6,20,6,32,No,,No
mturk,63015,16:53:22,140206032,"Yes, I consent to participate in this study",Yes,Destiny,Clash of Clans,Boom Beach,Batman: Arkham Knight,Zen Pinball,6,7,7,7,4,5,30,2,14,2,14,6,42,1,4,20.8,26,Male,2,USA,5,deanimator.html,V,35,5,7,Single,1-2 years,A little older,6,6,5,5,22,7,7,2,6,7,5,5,3,3,2,2,6,5,6,5,3,5,3,6,3,2,2,6,1,6,5,3.4,6.333333333,2,6,2.5,6,4.5,6,5,5,5,5,6,3,3,5.333333333,1,1,1,1,1,1,6,2,2,3,2,9,1,4,2,7,6,1,9,9,6,2,2,2,5,3,10,22,10,42,No,,No
mturk,63015,13:22:38,144242524,"Yes, I consent to participate in this study",Yes,GTA V,Far Cry 3,Sims 4,Fallout Shelter,Skyrim,7,4,4,7,4,6,42,6,24,1,4,3,21,5,20,22.2,32,Female,1,USA,5,deanimator.html,V,8,4,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,A little older,7,6,6,6,25,5,2,1,7,1,4,5,5,5,1,1,7,1,6,4,4,3,5,2,3,1,3,1,6,5,5,4.2,1.333333333,1,1.5,4,7,3.727272727,1,5,4,2,3,3,1,5,2.333333333,1,1,2,1,1,1,7,3,1,5,2,11,1,0,0,4,1,8,2,9,1,1,1,2,1,1,4,7,3,14,No,,No
mturk,63015,18:14:48,145993661,"Yes, I consent to participate in this study",Yes,bubble safari,mario party,donkey kong racing ,super mario,,6,4,4,2,,1,6,2,8,2,8,2,4,,,6.5,58,Female,1,USA,5,deanimator.html,V,2,1,1,"In a long-term monogamous relationship eg. married, partnered",20+ years,About the same age,5,3,4,4,16,6,6,1,7,7,5,5,3,3,2,1,7,6,5,3,5,1,5,5,5,2,1,5,5,5,4.5,4.2,6.333333333,2,5,3,7,4.590909091,3,7,3,3,5,5,3,4,3,1,1,1,1,1,1,6,3,3,1,1,8,1,0,1,4,1,7,3,9,3,2,2,2,1,2,5,8,7,20,No,,No
mturk,63015,19:20:29,146331592,"Yes, I consent to participate in this study",Yes,candy crush,cookie jam,royal dice,crash bandicoot,mortal kombat,7,7,7,1,1,1,7,1,7,1,7,2,2,6,6,5.8,39,Female,1,usa,3,bubbleshooter.html,NV,3670,4,1,"In a long-term monogamous relationship eg. married, partnered",11-20 years,A little older,6,5,4,7,22,5,6,3,5,7,5,5,3,3,2,2,6,6,3,3,5,5,5,5,3,2,5,5,5,5,4.666666667,3.8,6.333333333,2,5,5,5.5,4.590909091,1,1,1,1,3,5,3,3,1,1,1,1,1,1,1,6,3,3,3,3,12,1,5-Jun,Oct-19,4,4,3,7,9,1,1,1,2,6,8,16,15,3,34,No,,No
mturk,63015,17:37:30,147281749,"Yes, I consent to participate in this study",Yes,MONSTERS VS ZOMBIES,BUBBLE WITCH,,,,4,7, , , ,5,20,2,14,,,,,,,17,42,Female,1,USA,5,deanimator.html,V,0,2,1,"In a long-term monogamous relationship eg. married, partnered",Under one year,Much younger,6,6,6,7,25,6,5,2,6,2,6,6,6,3,2,1,7,3,7,2,6,7,7,7,5,1,5,5,6,6,6.333333333,5.2,3.333333333,1.5,6,6,6.5,5.181818182,1,7,1,1,6,5,1,3,1,2,2,3,3,4,2,16,1,1,1,1,4,1,0,0,1,1,9,1,9,1,2,1,2,1,1,4,3,4,11,No,,No
mturk,63015,14:10:21,147613869,"Yes, I consent to participate in this study",Yes,Dead Island,Alan Wake,Odd World,Serious Sam (more than one game),,6,5,4,5, ,7,42,5,25,4,16,5,25,,,27,29,Female,1,USA,1,perfectbalance.html,NV,,4,4,"In a long-term monogamous relationship eg. married, partnered",11-20 years,About the same age,5,4,4,4,17,5,7,6,2,7,1,3,3,1,1,1,7,5,1,6,2,2,4,7,2,4,1,7,7,4,3.666666667,1.8,6.333333333,2.5,7,2.5,4.5,3.772727273,1,7,4,5,4,4,5,3,3.333333333,1,1,1,1,1,1,6,1,1,1,3,6,1,5-Jun,Oct-19,9,9,5,5,9,6,6,6,2,6,8,16,23,18,57,No,I didn't see my score,
mturk,63015,17:39:30,147923680,"Yes, I consent to participate in this study",Yes,shooter games,halo,call of duty,mario kart,lego star wars,7,7,4,4,4,6,42,6,42,6,24,1,4,2,8,24,30,Female,1,usa,6,gunblood.html,V,55,3,1,"In a long-term monogamous relationship eg. married, partnered",11-20 years,A little older,6,5,5,5,21,5,7,3,5,7,6,5,5,5,3,1,7,7,5,3,5,5,5,5,6,3,5,5,1,5,4.333333333,5.4,7,3,5,5,6,5.090909091,3,7,3,2,3,5,2,4,2.666666667,1,1,1,1,1,1,6,6,5,5,6,22,1,2,Oct-19,8,6,4,6,9,2,2,2,2,3,8,13,20,6,39,No,na,No
mturk,63015,15:34:31,150605859,"Yes, I consent to participate in this study",Yes,word chaos,angry birds,lexathon,candy crush,angry birds rio,7,3,3,3,2,1,7,5,15,1,3,1,3,5,10,7.6,52,Female,1,USA,3,bubbleshooter.html,NV,1820,4,1,Single, , ,5,5,4,6,20,5,7,3,5,1,3,3,3,2,1,2,6,3,3,1,7,5,5,6,3,1,2,5,3,4,3.833333333,3.6,3.666666667,1,5.5,3.5,5.5,3.772727273,3,7,5,5,6,7,1,1,4.333333333,1,1,1,1,1,1,6,1,1,1,3,6,1,7-Sep,7-Sep,8,6,4,6,9,6,4,6,2,7,7,16,20,16,52,No,fun game,No
mturk,63015,18:05:40,150913179,"Yes, I consent to participate in this study",Yes,WWW III,Turbo Race,Planet Invasion,Simcountry,Simcity,6,4,4,6,6,6,36,2,8,5,20,2,12,1,6,16.4,34,Male,2,USA,2,pongnop.html,NV,912,4,7,In an open relationship/casually dating,2-5 years,Younger,6,6,5,5,22,7,5,3,5,6,6,5,5,5,1,2,6,6,5,2,6,5,6,5,6,2,5,5,5,5,5.333333333,5.6,5.666666667,1.5,5,5.5,5.5,5.090909091,3,6,5,5,3,6,1,1,4.333333333,1,1,1,1,1,1,6,2,3,5,5,15,1,0,0,2,2,7,3,9,2,1,1,2,1,1,4,7,4,15,No,Great study.,No
mturk,63015,16:19:52,153780328,"Yes, I consent to participate in this study",Yes,Lego Indiana Jones,Candy Crush,Farmtown Heros,no,n/a,7,7,7,,,1,7,1,7,1,7,,,,,7,39,Female,1,USA,6,gunblood.html,V,6,4,1,"In a long-term monogamous relationship eg. married, partnered",11-20 years,A little older,5,6,5,5,21,7,7,1,7,7,1,6,2,3,1,2,6,7,5,7,1,1,6,5,1,1,1,2,1,6,4.333333333,1.6,7,1,3.5,3.5,6.5,3.818181818,5,7,5,5,6,6,4,6,5,1,1,2,1,1,1,7,2,2,1,1,6,1,0,0,7,6,8,2,9,1,1,1,2,1,1,4,15,3,22,No,no,No
mturk,63015,13:53:33,154351713,"Yes, I consent to participate in this study",Yes,Heroes of the Storm,League of Legends,Hearthstone,Batman Arkham Asylum,Carmageddon: Reincarnation,7,4,1,1,3,3,21,3,12,1,1,5,5,7,21,12,35,Male,2,usa,6,gunblood.html,V,109,6,7,"In a long-term monogamous relationship eg. married, partnered",11-20 years,About the same age,5,3,4,4,16,3,3,5,3,7,2,2,3,2,2,1,7,3,2,2,6,1,2,6,2,3,2,5,1,3,2,3,4.333333333,2.5,5.5,2,5,3.181818182,4,7,4,3,2,6,2,5,3.666666667,1,1,1,1,1,1,6,3,3,3,3,12,1,0,0,3,4,7,3,9,4,2,3,2,1,1,4,10,9,23,No,no,No
mturk,63015,17:52:52,156426413,"Yes, I consent to participate in this study",Yes,hill climb racing,found,super mario,,,4,4,4, , ,2,8,1,4,2,8,,,,,6.666666667,29,Female,1,usa,6,gunblood.html,V,,4,1,Single,6-10 years,A little older,5,5,4,4,18,6,6,2,6,7,5,5,4,4,2,1,7,4,4,2,6,2,4,4,4,3,4,4,4,4,4.166666667,4.6,5.666666667,2.5,4,4,6.5,4.5,1,7,1,4,4,5,4,3,2,1,1,1,1,1,1,6,1,1,1,1,4,1,2,2,5,2,8,2,9,2,1,1,2,3,3,8,9,4,21,No,i guessed score,No
mturk,63015,17:20:18,158625119,"Yes, I consent to participate in this study",Yes,Madden NFL 25,Call of Duty,8 Ball Pool,7 Words,Driver,6,4,6,6,4,2,12,6,24,1,6,1,6,2,8,11.2,25,Male,2,United States,3,bubbleshooter.html,NV,5940,6,7,"In a long-term monogamous relationship eg. married, partnered",Under one year,About the same age,6,6,6,7,25,5,7,3,5,7,4,4,5,4,2,2,6,5,5,3,5,1,6,6,5,2,5,5,1,5,3.5,4.6,6.333333333,2,5.5,5.5,5.5,4.545454545,1,7,1,3,7,7,5,5,1.666666667,1,1,1,1,1,1,6,1,1,2,2,6,0,0,0,1,1,6,4,9,1,1,1,1,1,1,3,6,3,12,No,No issues.,No
mturk,63015,16:36:37,159957043,"Yes, I consent to participate in this study",Yes,Mabinogi,Heroes of the storm,Borderlands the Pre-Sequel,Hearthstone,Vindictus,6,4,4,4,2,6,36,5,20,7,28,5,20,7,14,23.6,28,Male,2,USA,6,gunblood.html,V,87,1,7,Single,Under one year,A little younger,7,2,2,4,15,1,7,7,1,7,6,7,6,6,5,3,5,6,3,5,3,5,6,6,3,2,7,5,6,5,4.5,4.8,6.666666667,3.5,5.5,6.5,3,4.909090909,3,6,6,1,5,5,3,6,3.333333333,1,1,1,1,1,1,6,6,5,6,5,22,3,2,3,6,8,3,7,6,7,7,8,4,3,4,11,21,22,54,No,nope,No
mturk,63015,13:32:00,161682985,"Yes, I consent to participate in this study",Yes,Life is Strange,Tales from the Borderlands,Warframe,Telltale's A Game of Thrones,,4,4,4,2, ,3,12,5,20,6,24,6,12,,,17,24,Female,1,United States of America,3,bubbleshooter.html,NV,2180,4,4,Single, , ,1,1,1,4,7,4,1,1,7,1,3,2,2,1,1,1,7,1,1,5,3,1,1,1,3,3,1,1,4,1,2.166666667,2.4,1,2,1,1,7,2.272727273,1,6,1,1,4,5,4,2,1,1,1,3,1,1,1,8,2,2,1,1,6,0,0,0,8,1,5,5,9,1,1,1,1,1,1,3,14,3,20,No,Nope,No
mturk,63015,15:47:06,164770052,"Yes, I consent to participate in this study",Yes,COD Advanced Warfare,Castleville,Star Trek Trexles ,Lego avengers,,7,7,7,4, ,6,42,1,7,2,14,2,8,,,17.75,40,Male,2,USA,5,deanimator.html,V,38,6,7,"In a long-term monogamous relationship eg. married, partnered",11-20 years,Younger,7,7,7,7,28,6,7,1,7,7,5,6,6,7,1,1,7,7,7,4,4,5,7,5,7,1,5,3,3,6,5.5,5.8,7,1,4,6,7,5.409090909,7,7,4,3,6,7,1,3,4.666666667,1,1,1,1,1,1,6,5,4,5,5,19,1,4,2,2,1,6,4,9,6,7,2,2,5,3,10,7,15,32,No,none,No
mturk,63015,16:10:47,167538202,"Yes, I consent to participate in this study",Yes,Mah Jong 3D,,,,,5, , , , ,1,5,,,,,,,,,5,58,Female,1,USA,1,perfectbalance.html,NV,989,1,1,"In a long-term monogamous relationship eg. married, partnered",11-20 years,About the same age,4,4,4,4,16,4,6,3,5,6,2,2,2,5,1,1,7,5,2,6,2,1,6,7,3,1,1,5,3,5,2.833333333,2.8,5.666666667,1,6,3.5,6,3.681818182,1,7,1,4,5,6,7,2,2,1,1,1,1,1,1,6,1,1,1,1,4,1,2,2,7,6,7,3,9,3,2,2,2,3,3,8,16,7,31,No,,No
mturk,63015,17:21:03,172818659,"Yes, I consent to participate in this study",Yes,bass fishing,college football,diablo,sonic,super mario,5,6,4,2,3,1,5,5,30,7,28,2,4,2,6,14.6,38,Male,2,US,2,pongnop.html,NV,350,4,7,Single,Under one year,Younger,5,5,4,5,19,6,7,6,2,7,5,5,6,5,3,2,6,6,6,3,5,5,5,5,5,5,5,5,5,5,5.333333333,5.2,6.666666667,4,5,5,4,5.181818182,3,7,6,6,5,7,2,3,5,1,1,1,1,1,1,6,5,5,6,6,22,1,Oct-19,Oct-19,8,8,4,6,9,6,6,7,2,8,8,18,22,19,59,No,no problems,No
mturk,63015,19:09:08,173242158,"Yes, I consent to participate in this study",Yes,The last of us ,witcher 3,Frozen Freefall,Goldfish Casino,Zynga Poker,4,6,5,4,6,5,20,5,30,1,5,1,4,1,6,13,54,Female,1,USA,1,perfectbalance.html,NV,965,7,1,Single, , ,6,6,6,7,25,6,7,4,4,7,5,6,5,5,3,2,6,6,6,1,7,5,6,6,5,4,4,5,5,5,5.5,5.4,6.666666667,3.5,5.5,5,5,5.363636364,1,7,4,4,5,5,2,2,3,1,1,1,1,1,1,6,3,3,5,3,14,0,0,0,4,3,7,3,9,2,2,1,1,1,1,3,10,5,18,No,none,No
mturk,63015,20:46:12,176561196,"Yes, I consent to participate in this study",Yes,Grand Theft Auto 5,UFC 2015,Madden 2015,Sim City ,Candy Crush Saga,6,5,4,7,2,7,42,7,35,3,12,1,7,1,2,19.6,33,Male,2,USA,3,bubbleshooter.html,NV,1650,4,7,"In a long-term monogamous relationship eg. married, partnered",11-20 years,About the same age,7,4,4,6,21,5,2,1,7,1,2,5,1,1,3,1,7,1,5,1,7,1,5,3,3,3,1,3,2,5,3.833333333,2.8,1.333333333,3,3,3,7,3.318181818,1,7,1,1,7,6,2,1,1,1,1,1,1,2,2,8,1,1,5,1,8,1,0,5-Jun,8,4,2,8,9,1,2,1,2,1,6,9,20,4,33,No,,No
